Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.02.27.024 A. M.,Capture Start Frame,303690,Total Frames in Take,2658,Total Exported Frames,2658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1887,Unlabeled 1887,Unlabeled 1887
,ID,"C9AF0","C9AF0","C9AF0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
439,3.658333,-0.002276,0.033179,0.020510
440,3.666667,-0.002280,0.033180,0.020508
441,3.675000,-0.002220,0.033123,0.020616
442,3.683333,-0.002229,0.033117,0.020617
443,3.691667,-0.002219,0.033113,0.020617
444,3.700000,-0.002263,0.033180,0.020512
445,3.708333,-0.002274,0.033183,0.020516
446,3.716667,-0.002275,0.033184,0.020509
447,3.725000,-0.002232,0.033128,0.020614
448,3.733333,-0.002271,0.033199,0.020513
449,3.741667,-0.002274,0.033190,0.020520
450,3.750000,-0.002232,0.033108,0.020623
451,3.758333,-0.002238,0.033116,0.020611
452,3.766667,-0.002234,0.033118,0.020617
453,3.775000,-0.002231,0.033130,0.020611
454,3.783333,-0.002271,0.033191,0.020514
455,3.791667,-0.002279,0.033187,0.020506
456,3.800000,-0.002285,0.033193,0.020501
457,3.808333,-0.002280,0.033193,0.020501
458,3.816667,-0.002267,0.033203,0.020506
459,3.825000,-0.002260,0.033196,0.020514
460,3.833333,-0.002276,0.033191,0.020517
461,3.841667,-0.002276,0.033189,0.020511
462,3.850000,-0.002236,0.033125,0.020618
463,3.858333,-0.002268,0.033205,0.020518
464,3.866667,-0.002217,0.033127,0.020623
465,3.875000,-0.002413,0.033161,0.020640
466,3.883333,-0.002231,0.033112,0.020621
467,3.891667,-0.002277,0.033196,0.020510
468,3.900000,-0.002271,0.033200,0.020510
469,3.908333,-0.002262,0.033208,0.020513
470,3.916667,-0.002256,0.033189,0.020520
471,3.925000,-0.002272,0.033185,0.020519
472,3.933333,-0.002277,0.033188,0.020518
473,3.941667,-0.002225,0.033138,0.020604
474,3.950000,-0.002222,0.033124,0.020618
475,3.958333,-0.002221,0.033121,0.020626
476,3.966667,-0.002228,0.033110,0.020625
477,3.975000,-0.002282,0.033189,0.020501
478,3.983333,-0.002287,0.033182,0.020515
479,3.991667,-0.002277,0.033192,0.020501
480,4.000000,-0.002268,0.033182,0.020509
481,4.008333,-0.002225,0.033122,0.020617
482,4.016667,-0.002239,0.033125,0.020614
483,4.025000,-0.002274,0.033204,0.020503
484,4.033333,-0.002270,0.033198,0.020502
485,4.041667,-0.002213,0.033118,0.020614
486,4.050000,-0.002268,0.033190,0.020515
487,4.058333,-0.002270,0.033196,0.020517
488,4.066667,-0.002275,0.033200,0.020502
489,4.075000,-0.002276,0.033198,0.020500
490,4.083333,-0.002265,0.033202,0.020507
491,4.091667,-0.002209,0.033123,0.020616
492,4.100000,-0.002219,0.033127,0.020617
493,4.108333,-0.002269,0.033199,0.020506
494,4.116667,-0.002274,0.033202,0.020497
495,4.125000,-0.002219,0.033128,0.020607
496,4.133333,-0.002230,0.033122,0.020624
497,4.141667,-0.002222,0.033131,0.020618
498,4.150000,-0.002230,0.033127,0.020608
499,4.158333,-0.002275,0.033203,0.020492
500,4.166667,-0.002266,0.033195,0.020493
501,4.175000,-0.002264,0.033197,0.020508
502,4.183333,-0.002227,0.033124,0.020606
503,4.191667,-0.002276,0.033188,0.020516
504,4.200000,-0.002274,0.033201,0.020493
505,4.208333,-0.002275,0.033197,0.020500
506,4.216667,-0.002272,0.033191,0.020508
507,4.225000,-0.002227,0.033122,0.020606
508,4.233333,-0.002273,0.033189,0.020508
509,4.241667,-0.002228,0.033118,0.020617
510,4.250000,-0.002282,0.033185,0.020502
511,4.258333,-0.002275,0.033186,0.020494
512,4.266667,-0.002280,0.033174,0.020511
513,4.275000,-0.002274,0.033178,0.020500
514,4.283333,-0.002286,0.033192,0.020504
515,4.291667,-0.002276,0.033185,0.020499
516,4.300000,-0.002267,0.033183,0.020497
517,4.308333,-0.002257,0.033184,0.020507
518,4.316667,-0.002283,0.033185,0.020507
519,4.325000,-0.002275,0.033200,0.020495
520,4.333333,-0.002272,0.033199,0.020491
521,4.341667,-0.002268,0.033208,0.020497
522,4.350000,-0.002259,0.033191,0.020514
523,4.358333,-0.002265,0.033180,0.020495
524,4.366667,-0.002282,0.033195,0.020500
525,4.375000,-0.002271,0.033195,0.020514
526,4.383333,-0.002218,0.033120,0.020610
527,4.391667,-0.002270,0.033179,0.020511
528,4.400000,-0.002293,0.033206,0.020560
529,4.408333,-0.002218,0.033564,0.020688
530,4.416667,-0.002235,0.033431,0.020740
531,4.425000,-0.002179,0.033371,0.020843
532,4.433333,-0.002215,0.033540,0.020660
533,4.441667,-0.002212,0.033445,0.020701
534,4.450000,-0.002199,0.033485,0.020690
535,4.458333,-0.002233,0.033529,0.020710
536,4.466667,-0.002302,0.033053,0.020565
